"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMESHOP
,,,,,Difference,Difference
Number of,Youngest,Gender,Mean,Std Dev,of Means,of Means,Cases
Adults,Child,,,,Total,M-F
1,None,Male,16.03,46.2274,=(D7-D$28)/SQRT(E7^2/$H7+E$28^2/$H$28),=(D7-D8)/SQRT(E7^2/$H7+E8^2/$H8),333
1,None,Female,29.5679,69.0273,=(D8-D$28)/SQRT(E8^2/$H8+E$28^2/$H$28),,324
2+,None,Male,15.6803,49.313,=(D9-D$28)/SQRT(E9^2/$H9+E$28^2/$H$28),=(D9-D10)/SQRT(E9^2/$H9+E10^2/$H10),1489
2+,None,Female,24.9241,59.2017,=(D10-D$28)/SQRT(E10^2/$H10+E$28^2/$H$28),,1371
1,0-5,Male,15.5,20.3347,=(D11-D$28)/SQRT(E11^2/$H11+E$28^2/$H$28),=(D11-D12)/SQRT(E11^2/$H11+E12^2/$H12),6
1,0-5,Female,25.5897,46.5429,=(D12-D$28)/SQRT(E12^2/$H12+E$28^2/$H$28),,78
2+,0-5,Male,13.1068,44.4226,=(D13-D$28)/SQRT(E13^2/$H13+E$28^2/$H$28),=(D13-D14)/SQRT(E13^2/$H13+E14^2/$H14),899
2+,0-5,Female,31.2019,70.3289,=(D14-D$28)/SQRT(E14^2/$H14+E$28^2/$H$28),,827
1,6-15,Male,5.1852,12.3445,=(D15-D$28)/SQRT(E15^2/$H15+E$28^2/$H$28),=(D15-D16)/SQRT(E15^2/$H15+E16^2/$H16),27
1,6-15,Female,23.084,42.7225,=(D16-D$28)/SQRT(E16^2/$H16+E$28^2/$H$28),,119
2+,6-15,Male,12.3789,37.425,=(D17-D$28)/SQRT(E17^2/$H17+E$28^2/$H$28),=(D17-D18)/SQRT(E17^2/$H17+E18^2/$H18),731
2+,6-15,Female,29.0808,59.371,=(D18-D$28)/SQRT(E18^2/$H18+E$28^2/$H$28),,718
1,16-21,Male,6.4375,11.4191,=(D19-D$28)/SQRT(E19^2/$H19+E$28^2/$H$28),=(D19-D20)/SQRT(E19^2/$H19+E20^2/$H20),16
1,16-21,Female,40.3256,72.8049,=(D20-D$28)/SQRT(E20^2/$H20+E$28^2/$H$28),,43
2+,16-21,Male,15.1534,55.9911,=(D21-D$28)/SQRT(E21^2/$H21+E$28^2/$H$28),=(D21-D22)/SQRT(E21^2/$H21+E22^2/$H22),378
2+,16-21,Female,29.1552,85.8304,=(D22-D$28)/SQRT(E22^2/$H22+E$28^2/$H$28),,348
1,retired,Male,31.1538,37.9777,=(D23-D$28)/SQRT(E23^2/$H23+E$28^2/$H$28),=(D23-D24)/SQRT(E23^2/$H23+E24^2/$H24),13
1,retired,Female,25,39.7492,=(D24-D$28)/SQRT(E24^2/$H24+E$28^2/$H$28),,11
2+,retired,Male,16.4235,32.7685,=(D25-D$28)/SQRT(E25^2/$H25+E$28^2/$H$28),=(D25-D26)/SQRT(E25^2/$H25+E26^2/$H26),196
2+,retired,Female,30.7729,56.5115,=(D26-D$28)/SQRT(E26^2/$H26+E$28^2/$H$28),,229
,,TOTAL,21.291,56.2797,,,8159
