,,TIME at HOME,,TIME at WORK,,TIME at SHOP,,TIME at OTHER,,Time at Travel
,,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Cases
Female,Non-Worker,=1179.1945+7.7674,200.8891,-,-,35.4805,64.5431,157.6492,176.7518,59.9085,66.7052,1049
Female,Worker,963.8222,239.7678,290.3191,255.9488,25.5836,64.2385,97.9341,146.5176,62.3409,56.0784,3021
Male,Non-Worker,=1168.4203+13.3349,225.7907,-,-,19.1848,41.7914,183.0462,205.5784,56.0139,65.0979,433
Male,Worker,923.2232,252.6334,336.0845,276.2167,13.922,46.1658,97.4352,150.9923,69.3351,65.0494,3656
note: all times in minutes per day
