Summaries,of,TIMEHOME
By,levels,of,CENSDX
Variable,Value,Mean,StdDev,N,,Cases
,,984.1785,257.4312,8159
Census Division
New England,1,992.6132,252.0332,1091,=(C8-$C$6)/(SQRT((D8^2/E8)+($D$6^2/$E$6)))
Middle Atlantic,2,990.7064,258.3235,1478,=(C9-$C$6)/(SQRT((D9^2/E9)+($D$6^2/$E$6)))
East North Central,3,977.1837,262.2244,1579,=(C10-$C$6)/(SQRT((D10^2/E10)+($D$6^2/$E$6)))
West North Central,4,963.2788,256.7626,391,=(C11-$C$6)/(SQRT((D11^2/E11)+($D$6^2/$E$6)))
South Atlantic,5,965.4111,248.8555,1080,=(C12-$C$6)/(SQRT((D12^2/E12)+($D$6^2/$E$6)))
East South Central,6,994.9474,249.5062,247,=(C13-$C$6)/(SQRT((D13^2/E13)+($D$6^2/$E$6)))
West South Central,7,1003.08,264.243,675,=(C14-$C$6)/(SQRT((D14^2/E14)+($D$6^2/$E$6)))
Mountain,8,986.7755,252.9487,392,=(C15-$C$6)/(SQRT((D15^2/E15)+($D$6^2/$E$6)))
Pacific,9,987.6028,260.8465,1226,=(C16-$C$6)/(SQRT((D16^2/E16)+($D$6^2/$E$6)))
,Total,Cases,=,8159
-------------------------------------------------------------------------------
Page,75,SPSS/PC+,1996-12-20 00:00:00
Summaries,of,TIMEWORK
By,levels,of,CENSDX
Variable,Value,Mean,StdDev,N,Dev,Cases
,Entire,259.7991,271.2033,8159
Census Division
New England,1,250.5188,270.5123,1091,=(C29-$C$27)/(SQRT((D29^2/E29)+($D$27^2/$E$27)))
Middle Atlantic,2,258.6225,271.4167,1478,=(C30-$C$27)/(SQRT((D30^2/E30)+($D$27^2/$E$27)))
East North Central,3,269.9823,270.7913,1579,=(C31-$C$27)/(SQRT((D31^2/E31)+($D$27^2/$E$27)))
West North Central,4,251.5934,266.5235,391,=(C32-$C$27)/(SQRT((D32^2/E32)+($D$27^2/$E$27)))
South Atlantic,5,282.2972,277.4134,1080,=(C33-$C$27)/(SQRT((D33^2/E33)+($D$27^2/$E$27)))
East South Central,6,227.6761,267.2192,247,=(C34-$C$27)/(SQRT((D34^2/E34)+($D$27^2/$E$27)))
West South Central,7,239.7141,266.1056,675,=(C35-$C$27)/(SQRT((D35^2/E35)+($D$27^2/$E$27)))
Mountain,8,263.1122,267.931,392,=(C36-$C$27)/(SQRT((D36^2/E36)+($D$27^2/$E$27)))
