Correlations:
Activity,Home,1
Duration,Work,-0.7371,**,1
,Work-Related,-0.1049,**,-0.0653,**,1
,Shop,0.0673,**,-0.2225,**,-0.0284,*,1
,Personal Business,-0.1211,**,-0.142,**,-0.0133,,-0.0312,*,1
,School/Church,-0.0756,**,-0.1811,**,-0.0298,*,-0.0587,**,-0.0414,**,1
,Medical,0.014,,-0.059,**,-0.0083,,-0.0025,,-0.0055,,-0.0175,,1
,Vacation,-0.0288,*,-0.0344,**,-0.0045,,-0.0138,,-0.0103,,-0.0096,,-0.004,,1
,Visit Friends,-0.0873,**,-0.2011,**,-0.0349,**,-0.0194,,-0.0462,**,-0.0156,,-0.0181,,-0.011,,1
,Pleasure Driving,-0.0005,,-0.034,*,-0.0054,,-0.0122,,-0.0123,,-0.0115,,-0.0048,,-0.0016,,-0.0061,,1
,Other Social Rec.,-0.1543,**,-0.1763,**,-0.0042,,-0.0355,**,-0.0325,*,-0.0327,*,-0.0028,,0.0015,,-0.0502,**,0.0105,,1
,Other,-0.0276,*,-0.0478,**,-0.008,,-0.0107,,0.006,,-0.0075,,-0.007,,-0.0023,,-0.0173,,-0.0028,,-0.0043,,1
,,Home,,Work,,Work-Related,,Shop,,Personal Business,,School/Church,,Medical,,Vacation,,Visiting,,Pleasure Driving,,Other Social/Rec,,Other
,,Activity Duration
Travel,Home,-0.1723,**,-0.0564,**,0.0138,,-0.0386,**,0.0265,*,-0.0106,,-0.0052,,0.0304,*,0.021,,0.0151,,0.0717,**,0.0141,,,Travel,Home,1
Duration,Work,-0.5135,**,0.5974,**,0.0049,,-0.1493,**,-0.0566,**,-0.1197,**,-0.0293,*,-0.024,,-0.1413,**,-0.0263,*,-0.1096,**,-0.0339,*,,Duration,Work,0.1315,**,1
,Work-Related,-0.0658,**,-0.0393,**,0.4029,**,-0.0227,,-0.0055,,-0.0196,,-0.0055,,-0.0032,,-0.0204,,-0.0038,,-0.0013,,-0.0056,,,,Work-Related,0.0406,**,0.0159,,1
,Shop,0.0652,**,-0.1721,**,-0.0162,,0.5023,**,-0.0106,,-0.0479,**,-0.0096,,-0.0147,,-0.0148,,-0.0129,,-0.0254,,-0.0088,,,,Shop,0.0078,,-0.09,**,-0.0173,,1
,Personal Business,-0.049,**,-0.1429,**,-0.0025,,-0.025,,0.4726,**,-0.0397,**,-0.0058,,0.0049,,-0.0279,*,-0.0085,,-0.0036,,-0.0058,,,,Personal Business,0.1179,**,-0.0746,**,0.0008,,0.031,*,1
,School/Church,-0.042,**,-0.1544,**,-0.0281,*,-0.0499,**,-0.0342,*,0.6989,**,-0.0113,,-0.0095,,0.0048,,-0.0114,,-0.0289,*,-0.0039,,,,School/Church,0.0408,**,-0.0982,**,-0.0176,,-0.031,*,-0.026,*,1
,Medical,0.0204,,-0.0541,**,-0.0076,,-0.0004,,0.0006,,-0.0145,,0.6996,**,-0.0045,,-0.021,,-0.0053,,-0.0089,,-0.0078,,,,Medical,0.0034,,-0.02,,-0.0049,,0.0068,,0.0085,,-0.008,,1
,Vacation,-0.0302,*,-0.0368,**,-0.0049,,-0.0148,,-0.0108,,-0.0103,,-0.0043,,0.4236,**,-0.0095,,-0.0017,,0.0034,,-0.0025,,,,Vacation,0.0928,**,-0.0256,,-0.0034,,-0.0157,,0.0544,**,-0.0102,,-0.0048,,1
,Visit Friends,-0.0578,**,-0.1699,**,-0.0265,*,0.0092,,-0.02,,-0.021,,-0.0174,,-0.0042,,0.6051,**,-0.0046,,-0.0232,,-0.008,,,,Visit Friends,0.1176,**,-0.107,**,-0.0065,,0.0159,,-0.0023,,-0.0137,,-0.0213,,0.0253,,1
,Pleasure Driving,0.0004,,-0.037,**,-0.0057,,-0.0114,,-0.0109,,0.0164,,-0.005,,-0.0017,,-0.0104,,0.4436,**,-0.0039,,-0.0021,,,,Pleasure Driving,0.0704,**,-0.0273,*,-0.004,,-0.0105,,-0.0097,,-0.0009,,-0.0056,,-0.0018,,-0.0071,,1
,Other Social Recreational,-0.0963,**,-0.1521,**,-0.0053,,-0.0122,,-0.0299,*,-0.0315,*,-0.0012,,0.0012,,-0.0424,**,0.0034,,0.6114,**,-0.0072,,,,Other Social Recreational,0.1444,**,-0.0925,**,0.0062,,0.0181,,0.017,,-0.0288,*,-0.009,,-0.0015,,0.0007,,0.0165,,1
,Other,-0.019,,-0.0457,**,-0.0086,,-0.0084,,0.0065,,-0.0034,,-0.0075,,-0.0025,,-0.0163,,0.0002,,0.0103,,0.657,**,,,Other,0.0426,**,-0.0285,*,-0.006,,-0.0063,,-0.0041,,-0.0017,,-0.0084,,-0.0027,,-0.0033,,0.022,,0.0048,,1
,,Home,,Work,,Work-Related,,Shop,,Personal Business,,School/Church,,Medical,,Vacation,,Visiting,,Pleasure Driving,,Other Social/Rec,,Other,,,,,Home,,Work,,Work-Related,,Shop,,Personal Business,,School/Church,,Medical,,Vacation,,Visiting,,Pleasure Driving,,Other Social/Rec,,Other
,,Activity Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel Duration
,,N cases,,8159
,,"1-tailed Significance * - 95%, ** 99%"
