TIMEHOME,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
,1168.4203,1179.1945,923.2232,963.8222
AGE,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
18-20,1047,1066.0779,979.1818,962.8098
21-25,1128.6571,1136.7748,925.0776,935.8686
26-30,1140.5789,1154.979,897.4852,946.4901
31-35,,1199.5918,913.3218,983.5149
36-40,,1199.4265,922.6126,975.2988
41-45,,1175.475,931.6706,961.5741
46-50,,1188.5902,917.9457,942.4528
51-55,,1194.44,914.45,989.1171
56-60,1206.6531,1211.0297,961.7539,977.3796
61-65,1225.2041,1234.2542,973.1043,1029.8222
TIMEWORK,"Male,Worker","Female,Worker"
,336.0845,290.3191
AGE,"Male,Worker","Female,Worker"
18-20,224.9545,243.5951
21-25,317.1187,305.0681
26-30,354.4868,304.4742
31-35,344.578,265.3021
36-40,349.1719,286.5136
41-45,333.8729,299.6038
46-50,342.2829,321.8113
51-55,352.4038,274.039
56-60,335.9948,297.6131
61-65,309.8435,271.0667
TIMESHOP,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
,19.1848,35.4805,13.922,25.5836
AGE,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
18-20,13.9667,37.3506,9.013,22.3313
21-25,23.2714,24.2252,13.6689,20.0852
26-30,23.7105,37,13.6661,22.5615
31-35,,35.5374,15.4335,29.2234
36-40,,40.5735,13.6542,25.4099
41-45,,25.625,13.7012,29.1509
46-50,,46.9016,11.2486,27.9925
51-55,,42.2267,13.6731,29.6488
56-60,26.0612,42.495,18.7749,24.2044
61-65,22.2347,27.5508,17.4435,26.3222
TIMEOTHER,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
,183.0462,157.6492,97.4352,97.9341
AGE,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
18-20,318.2,253.6494,163.5909,146.8466
21-25,207.7714,215.5676,118.5502,110.8418
26-30,196.6842,164.8462,105.1974,104.0992
31-35,,144.7347,96.4417,100.0277
36-40,,139.6618,82.9822,92.1728
41-45,,154.3625,91.5765,87.5714
46-50,,134.6393,91.1429,84.7887
51-55,,131.9467,91.6269,87.8829
56-60,135.0816,128.3663,58.8848,80.6861
61-65,130.6122,124.1441,74.2,61.4444
TIMETRAVEL,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
,56.0139,59.9085,69.3351,62.3409
AGE,"Male, NonWorker","Female,NonWorker","Male,Worker","Female,Worker"
18-20,50.0833,77.0519,63.2597,64.4172
21-25,57.5,56.2252,65.5845,68.1363
26-30,56.7105,55.8811,69.1645,62.375
31-35,,54.6259,70.225,61.9319
36-40,,59.7132,71.5791,60.6049
41-45,,68.9125,69.1788,62.0997
46-50,,68.8852,77.38,62.9547
51-55,,65.0133,67.8462,59.3122
56-60,55.9796,55.0396,64.5916,60.1168
61-65,55.1122,54.0508,65.4087,51.3444
