"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMEOTHE
,,,,,Difference,Difference
Number of,Youngest,Gender,Mean,Std Dev,of Means,of Means,Cases
Adults,Child,,,,Total,M-F
1,None,Male,127.6036,177.5547,=(D7-D$28)/SQRT(E7^2/$H7+E$28^2/$H$28),=(D7-D8)/SQRT(E7^2/$H7+E8^2/$H8),333
1,None,Female,120.7809,155.8165,=(D8-D$28)/SQRT(E8^2/$H8+E$28^2/$H$28),,324
2+,None,Male,109.4862,163.5293,=(D9-D$28)/SQRT(E9^2/$H9+E$28^2/$H$28),=(D9-D10)/SQRT(E9^2/$H9+E10^2/$H10),1489
2+,None,Female,113.7228,160.5199,=(D10-D$28)/SQRT(E10^2/$H10+E$28^2/$H$28),,1371
1,0-5,Male,110.6667,171.612,=(D11-D$28)/SQRT(E11^2/$H11+E$28^2/$H$28),=(D11-D12)/SQRT(E11^2/$H11+E12^2/$H12),6
1,0-5,Female,133.9103,159.1748,=(D12-D$28)/SQRT(E12^2/$H12+E$28^2/$H$28),,78
2+,0-5,Male,86.1924,139.0678,=(D13-D$28)/SQRT(E13^2/$H13+E$28^2/$H$28),=(D13-D14)/SQRT(E13^2/$H13+E14^2/$H14),899
2+,0-5,Female,110.3096,144.7106,=(D14-D$28)/SQRT(E14^2/$H14+E$28^2/$H$28),,827
1,6-15,Male,131.4074,167.9293,=(D15-D$28)/SQRT(E15^2/$H15+E$28^2/$H$28),=(D15-D16)/SQRT(E15^2/$H15+E16^2/$H16),27
1,6-15,Female,119.1765,151.6705,=(D16-D$28)/SQRT(E16^2/$H16+E$28^2/$H$28),,119
2+,6-15,Male,106.2038,165.8583,=(D17-D$28)/SQRT(E17^2/$H17+E$28^2/$H$28),=(D17-D18)/SQRT(E17^2/$H17+E18^2/$H18),731
2+,6-15,Female,109.3273,161.2354,=(D18-D$28)/SQRT(E18^2/$H18+E$28^2/$H$28),,718
1,16-21,Male,188.625,167.5951,=(D19-D$28)/SQRT(E19^2/$H19+E$28^2/$H$28),=(D19-D20)/SQRT(E19^2/$H19+E20^2/$H20),16
1,16-21,Female,138.0465,184.6349,=(D20-D$28)/SQRT(E20^2/$H20+E$28^2/$H$28),,43
2+,16-21,Male,110.0952,158.996,=(D21-D$28)/SQRT(E21^2/$H21+E$28^2/$H$28),=(D21-D22)/SQRT(E21^2/$H21+E22^2/$H22),378
2+,16-21,Female,114.7529,161.9414,=(D22-D$28)/SQRT(E22^2/$H22+E$28^2/$H$28),,348
1,retired,Male,145.8462,168.2547,=(D23-D$28)/SQRT(E23^2/$H23+E$28^2/$H$28),=(D23-D24)/SQRT(E23^2/$H23+E24^2/$H24),13
1,retired,Female,178.7273,199.0382,=(D24-D$28)/SQRT(E24^2/$H24+E$28^2/$H$28),,11
2+,retired,Male,121.7398,156.8849,=(D25-D$28)/SQRT(E25^2/$H25+E$28^2/$H$28),=(D25-D26)/SQRT(E25^2/$H25+E26^2/$H26),196
2+,retired,Female,102.3319,153.4707,=(D26-D$28)/SQRT(E26^2/$H26+E$28^2/$H$28),,229
,,TOTAL,109.905,158.4693,,,8159
