"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMEHOME,,,,TIMEWORK,,,,TIMESHOP,,,,TIMEOTHE,,,,TIMETRAV
,,,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference
Number of,Youngest,Gender,Mean,Std Dev,of Means,of Means,Mean,Std Dev,of Means,of Means,Mean,Std Dev,of Means,of Means,Mean,Std Dev,of Means,of Means,Mean,Std Dev,of Means,of Means,Cases
Adults,Child,,,,Total,M-F,,,Total,M-F,,,Total,M-F,,,Total,M-F,,,Total,M-F
1,None,Male,932.964,269.6432,=(D7-D$28)/SQRT(E7^2/$X7+E$28^2/$X$28),=(D7-D8)/SQRT(E7^2/$X7+E8^2/$X8),291.8348,270.0007,=(H7-H$28)/SQRT(I7^2/$X7+I$28^2/$X$28),=(H7-H8)/SQRT(I7^2/$X7+I8^2/$X8),16.03,46.2274,=(L7-L$28)/SQRT(M7^2/$X7+M$28^2/$X$28),=(L7-L8)/SQRT(M7^2/$X7+M8^2/$X8),127.6036,177.5547,=(P7-P$28)/SQRT(Q7^2/$X7+Q$28^2/$X$28),=(P7-P8)/SQRT(Q7^2/$X7+Q8^2/$X8),71.5676,73.6935,=(T7-T$28)/SQRT(U7^2/$X7+U$28^2/$X$28),=(T7-T8)/SQRT(U7^2/$X7+U8^2/$X8),333
1,None,Female,971.0494,249.9752,=(D8-D$28)/SQRT(E8^2/$X8+E$28^2/$X$28),,252.7284,262.6942,=(H8-H$28)/SQRT(I8^2/$X8+I$28^2/$X$28),,29.5679,69.0273,=(L8-L$28)/SQRT(M8^2/$X8+M$28^2/$X$28),,120.7809,155.8165,=(P8-P$28)/SQRT(Q8^2/$X8+Q$28^2/$X$28),,65.8735,56.4602,=(T8-T$28)/SQRT(U8^2/$X8+U$28^2/$X$28),,324
2+,None,Male,942.7871,261.0712,=(D9-D$28)/SQRT(E9^2/$X9+E$28^2/$X$28),=(D9-D10)/SQRT(E9^2/$X9+E10^2/$X10),305.2371,283.4445,=(H9-H$28)/SQRT(I9^2/$X9+I$28^2/$X$28),=(H9-H10)/SQRT(I9^2/$X9+I10^2/$X10),15.6803,49.313,=(L9-L$28)/SQRT(M9^2/$X9+M$28^2/$X$28),=(L9-L10)/SQRT(M9^2/$X9+M10^2/$X10),109.4862,163.5293,=(P9-P$28)/SQRT(Q9^2/$X9+Q$28^2/$X$28),=(P9-P10)/SQRT(Q9^2/$X9+Q10^2/$X10),66.8093,60.8595,=(T9-T$28)/SQRT(U9^2/$X9+U$28^2/$X$28),=(T9-T10)/SQRT(U9^2/$X9+U10^2/$X10),1489
2+,None,Female,981.7994,248.5998,=(D10-D$28)/SQRT(E10^2/$X10+E$28^2/$X$28),,254.6018,261.2038,=(H10-H$28)/SQRT(I10^2/$X10+I$28^2/$X$28),,24.9241,59.2017,=(L10-L$28)/SQRT(M10^2/$X10+M$28^2/$X$28),,113.7228,160.5199,=(P10-P$28)/SQRT(Q10^2/$X10+Q$28^2/$X$28),,64.9519,60.0792,=(T10-T$28)/SQRT(U10^2/$X10+U$28^2/$X$28),,1371
1,0-5,Male,1154,305.3961,=(D11-D$28)/SQRT(E11^2/$X11+E$28^2/$X$28),=(D11-D12)/SQRT(E11^2/$X11+E12^2/$X12),132.5,217.2499,=(H11-H$28)/SQRT(I11^2/$X11+I$28^2/$X$28),=(H11-H12)/SQRT(I11^2/$X11+I12^2/$X12),15.5,20.3347,=(L11-L$28)/SQRT(M11^2/$X11+M$28^2/$X$28),=(L11-L12)/SQRT(M11^2/$X11+M12^2/$X12),110.6667,171.612,=(P11-P$28)/SQRT(Q11^2/$X11+Q$28^2/$X$28),=(P11-P12)/SQRT(Q11^2/$X11+Q12^2/$X12),27.3333,31.4113,=(T11-T$28)/SQRT(U11^2/$X11+U$28^2/$X$28),=(T11-T12)/SQRT(U11^2/$X11+U12^2/$X12),6
1,0-5,Female,1039.9359,247.1922,=(D12-D$28)/SQRT(E12^2/$X12+E$28^2/$X$28),,180.1795,248.878,=(H12-H$28)/SQRT(I12^2/$X12+I$28^2/$X$28),,25.5897,46.5429,=(L12-L$28)/SQRT(M12^2/$X12+M$28^2/$X$28),,133.9103,159.1748,=(P12-P$28)/SQRT(Q12^2/$X12+Q$28^2/$X$28),,60.3846,51.7364,=(T12-T$28)/SQRT(U12^2/$X12+U$28^2/$X$28),,78
2+,0-5,Male,931.7864,248.8447,=(D13-D$28)/SQRT(E13^2/$X13+E$28^2/$X$28),=(D13-D14)/SQRT(E13^2/$X13+E14^2/$X14),341.0011,279.7634,=(H13-H$28)/SQRT(I13^2/$X13+I$28^2/$X$28),=(H13-H14)/SQRT(I13^2/$X13+I14^2/$X14),13.1068,44.4226,=(L13-L$28)/SQRT(M13^2/$X13+M$28^2/$X$28),=(L13-L14)/SQRT(M13^2/$X13+M14^2/$X14),86.1924,139.0678,=(P13-P$28)/SQRT(Q13^2/$X13+Q$28^2/$X$28),=(P13-P14)/SQRT(Q13^2/$X13+Q14^2/$X14),67.9132,63.3566,=(T13-T$28)/SQRT(U13^2/$X13+U$28^2/$X$28),=(T13-T14)/SQRT(U13^2/$X13+U14^2/$X14),899
2+,0-5,Female,1083.9807,241.884,=(D14-D$28)/SQRT(E14^2/$X14+E$28^2/$X$28),,157.6409,233.9267,=(H14-H$28)/SQRT(I14^2/$X14+I$28^2/$X$28),,31.2019,70.3289,=(L14-L$28)/SQRT(M14^2/$X14+M$28^2/$X$28),,110.3096,144.7106,=(P14-P$28)/SQRT(Q14^2/$X14+Q$28^2/$X$28),,56.867,52.1862,=(T14-T$28)/SQRT(U14^2/$X14+U$28^2/$X$28),,827
