"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMEHOME,,,,TIMEWORK,,,,TIMESHOP,,,,TIMEOTHE,,,,TIMETRAV
,,,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference,,,Difference,Difference
1,6-15,Male,1045.4444,298.355,=(D15-D$28)/SQRT(E15^2/$X15+E$28^2/$X$28),=(D15-D16)/SQRT(E15^2/$X15+E16^2/$X16),192.8148,246.502,=(H15-H$28)/SQRT(I15^2/$X15+I$28^2/$X$28),=(H15-H16)/SQRT(I15^2/$X15+I16^2/$X16),5.1852,12.3445,=(L15-L$28)/SQRT(M15^2/$X15+M$28^2/$X$28),=(L15-L16)/SQRT(M15^2/$X15+M16^2/$X16),131.4074,167.9293,=(P15-P$28)/SQRT(Q15^2/$X15+Q$28^2/$X$28),=(P15-P16)/SQRT(Q15^2/$X15+Q16^2/$X16),65.1481,61.5459,=(T15-T$28)/SQRT(U15^2/$X15+U$28^2/$X$28),=(T15-T16)/SQRT(U15^2/$X15+U16^2/$X16),27
1,6-15,Female,968.3697,247.8287,=(D16-D$28)/SQRT(E16^2/$X16+E$28^2/$X$28),,266.5378,260.6388,=(H16-H$28)/SQRT(I16^2/$X16+I$28^2/$X$28),,23.084,42.7225,=(L16-L$28)/SQRT(M16^2/$X16+M$28^2/$X$28),,119.1765,151.6705,=(P16-P$28)/SQRT(Q16^2/$X16+Q$28^2/$X$28),,62.8319,56.2537,=(T16-T$28)/SQRT(U16^2/$X16+U$28^2/$X$28),,119
2+,6-15,Male,937.0082,259.8552,=(D17-D$28)/SQRT(E17^2/$X17+E$28^2/$X$28),=(D17-D18)/SQRT(E17^2/$X17+E18^2/$X18),315.3885,279.8863,=(H17-H$28)/SQRT(I17^2/$X17+I$28^2/$X$28),=(H17-H18)/SQRT(I17^2/$X17+I18^2/$X18),12.3789,37.425,=(L17-L$28)/SQRT(M17^2/$X17+M$28^2/$X$28),=(L17-L18)/SQRT(M17^2/$X17+M18^2/$X18),106.2038,165.8583,=(P17-P$28)/SQRT(Q17^2/$X17+Q$28^2/$X$28),=(P17-P18)/SQRT(Q17^2/$X17+Q18^2/$X18),69.0205,64.6662,=(T17-T$28)/SQRT(U17^2/$X17+U$28^2/$X$28),=(T17-T18)/SQRT(U17^2/$X17+U18^2/$X18),731
2+,6-15,Female,1025.8148,240.1251,=(D18-D$28)/SQRT(E18^2/$X18+E$28^2/$X$28),,213.1295,249.6202,=(H18-H$28)/SQRT(I18^2/$X18+I$28^2/$X$28),,29.0808,59.371,=(L18-L$28)/SQRT(M18^2/$X18+M$28^2/$X$28),,109.3273,161.2354,=(P18-P$28)/SQRT(Q18^2/$X18+Q$28^2/$X$28),,62.6476,68.1129,=(T18-T$28)/SQRT(U18^2/$X18+U$28^2/$X$28),,718
1,16-21,Male,910.0625,281.7052,=(D19-D$28)/SQRT(E19^2/$X19+E$28^2/$X$28),=(D19-D20)/SQRT(E19^2/$X19+E20^2/$X20),256,267.7798,=(H19-H$28)/SQRT(I19^2/$X19+I$28^2/$X$28),=(H19-H20)/SQRT(I19^2/$X19+I20^2/$X20),6.4375,11.4191,=(L19-L$28)/SQRT(M19^2/$X19+M$28^2/$X$28),=(L19-L20)/SQRT(M19^2/$X19+M20^2/$X20),188.625,167.5951,=(P19-P$28)/SQRT(Q19^2/$X19+Q$28^2/$X$28),=(P19-P20)/SQRT(Q19^2/$X19+Q20^2/$X20),78.875,99.4464,=(T19-T$28)/SQRT(U19^2/$X19+U$28^2/$X$28),=(T19-T20)/SQRT(U19^2/$X19+U20^2/$X20),16
1,16-21,Female,997.3023,224.7147,=(D20-D$28)/SQRT(E20^2/$X20+E$28^2/$X$28),,206.8837,243.1167,=(H20-H$28)/SQRT(I20^2/$X20+I$28^2/$X$28),,40.3256,72.8049,=(L20-L$28)/SQRT(M20^2/$X20+M$28^2/$X$28),,138.0465,184.6349,=(P20-P$28)/SQRT(Q20^2/$X20+Q$28^2/$X$28),,57.4419,44.3661,=(T20-T$28)/SQRT(U20^2/$X20+U$28^2/$X$28),,43
2+,16-21,Male,955.5212,258.2525,=(D21-D$28)/SQRT(E21^2/$X21+E$28^2/$X$28),=(D21-D22)/SQRT(E21^2/$X21+E22^2/$X22),288.7593,275.5628,=(H21-H$28)/SQRT(I21^2/$X21+I$28^2/$X$28),=(H21-H22)/SQRT(I21^2/$X21+I22^2/$X22),15.1534,55.9911,=(L21-L$28)/SQRT(M21^2/$X21+M$28^2/$X$28),=(L21-L22)/SQRT(M21^2/$X21+M22^2/$X22),110.0952,158.996,=(P21-P$28)/SQRT(Q21^2/$X21+Q$28^2/$X$28),=(P21-P22)/SQRT(Q21^2/$X21+Q22^2/$X22),70.4709,74.0114,=(T21-T$28)/SQRT(U21^2/$X21+U$28^2/$X$28),=(T21-T22)/SQRT(U21^2/$X21+U22^2/$X22),378
2+,16-21,Female,992.9713,248.4108,=(D22-D$28)/SQRT(E22^2/$X22+E$28^2/$X$28),,242.6264,256.1752,=(H22-H$28)/SQRT(I22^2/$X22+I$28^2/$X$28),,29.1552,85.8304,=(L22-L$28)/SQRT(M22^2/$X22+M$28^2/$X$28),,114.7529,161.9414,=(P22-P$28)/SQRT(Q22^2/$X22+Q$28^2/$X$28),,60.4943,61.7215,=(T22-T$28)/SQRT(U22^2/$X22+U$28^2/$X$28),,348
1,retired,Male,1195.6154,214.3683,=(D23-D$28)/SQRT(E23^2/$X23+E$28^2/$X$28),=(D23-D24)/SQRT(E23^2/$X23+E24^2/$X24),0,0,=(H23-H$28)/SQRT(I23^2/$X23+I$28^2/$X$28),NA,31.1538,37.9777,=(L23-L$28)/SQRT(M23^2/$X23+M$28^2/$X$28),=(L23-L24)/SQRT(M23^2/$X23+M24^2/$X24),145.8462,168.2547,=(P23-P$28)/SQRT(Q23^2/$X23+Q$28^2/$X$28),=(P23-P24)/SQRT(Q23^2/$X23+Q24^2/$X24),67.3846,77.7491,=(T23-T$28)/SQRT(U23^2/$X23+U$28^2/$X$28),=(T23-T24)/SQRT(U23^2/$X23+U24^2/$X24),13
1,retired,Female,1161.9091,240.6742,=(D24-D$28)/SQRT(E24^2/$X24+E$28^2/$X$28),,0,0,=(H24-H$28)/SQRT(I24^2/$X24+I$28^2/$X$28),,25,39.7492,=(L24-L$28)/SQRT(M24^2/$X24+M$28^2/$X$28),,178.7273,199.0382,=(P24-P$28)/SQRT(Q24^2/$X24+Q$28^2/$X$28),,74.3636,59.862,=(T24-T$28)/SQRT(U24^2/$X24+U$28^2/$X$28),,11
2+,retired,Male,1105.3673,246.0371,=(D25-D$28)/SQRT(E25^2/$X25+E$28^2/$X$28),=(D25-D26)/SQRT(E25^2/$X25+E26^2/$X26),135.0153,230.0708,=(H25-H$28)/SQRT(I25^2/$X25+I$28^2/$X$28),=(H25-H26)/SQRT(I25^2/$X25+I26^2/$X26),16.4235,32.7685,=(L25-L$28)/SQRT(M25^2/$X25+M$28^2/$X$28),=(L25-L26)/SQRT(M25^2/$X25+M26^2/$X26),121.7398,156.8849,=(P25-P$28)/SQRT(Q25^2/$X25+Q$28^2/$X$28),=(P25-P26)/SQRT(Q25^2/$X25+Q26^2/$X26),61.4541,70.2325,=(T25-T$28)/SQRT(U25^2/$X25+U$28^2/$X$28),=(T25-T26)/SQRT(U25^2/$X25+U26^2/$X26),196
2+,retired,Female,1115.3668,232.3444,=(D26-D$28)/SQRT(E26^2/$X26+E$28^2/$X$28),,138.6943,228.9427,=(H26-H$28)/SQRT(I26^2/$X26+I$28^2/$X$28),,30.7729,56.5115,=(L26-L$28)/SQRT(M26^2/$X26+M$28^2/$X$28),,102.3319,153.4707,=(P26-P$28)/SQRT(Q26^2/$X26+Q$28^2/$X$28),,52.8341,48.233,=(T26-T$28)/SQRT(U26^2/$X26+U$28^2/$X$28),,229
,,TOTAL,984.1785,257.4312,,,259.7991,271.2033,,,21.291,56.2797,,,109.905,158.4693,,,64.8264,62.2463,,,8159
