TIMEHOME
,Female,,Male
,Non-Worker,Worker,Non-Worker,Worker
Total,1179.1945,963.8222,1168.4203,923.2232
Income Level,"Female, Non-Worker","Female, Worker","Male, Non-Worker","Male, Worker"
"Less Than $5,000",1121.7255,959.3478,1071.95,988.5385
"$5,000- $9,999",1160.5733,1021.7802,1146.3,967.5147
"$10,000-$14,999",1199.5156,948.0769,1190.9655,991.0413
"$15,000-$19,999",1226.4125,964.9821,1200.6667,949.5491
"$20,000-$24,999",1164.4247,955.9946,1210.8667,948.6635
"$25,000-$29,999",1174.5814,1005.5668,1178.9375,940.5461
"$30,000-$34,999",1192.3721,952.2901,1233.5135,931.7903
"$35,000-$39,999",1202.8592,955.1065,1217.9,930.1844
"$40,000-$44,999",1173.1471,952.3141,1220.6667,911.7444
"$45,000-$49,999",1183.5484,942.3167,1119.1053,893.7153
"$50,000-$54,999",1186.8478,974.4683,1100.4815,920.9715
"$55,000-$59,999",1146.875,946.4257,1178.9524,937.2907
"$60,000-$64,999",1165.087,967.0374,1195.6667,904.2071
"$65,000-$69,999",1169.2813,998.9008,996.7,897.6404
"$70,000-$79,999",1239.5238,927.0102,1135.4,928.416
"$75,000-$79,999",1183.7826,937.7206,1120,893.1714
"$80,000+",1171.4355,965.4691,1091.3043,891.2204
TIMESHOP
,Female,,Male
,Non-Worker,Worker,Non-Worker,Worker
Total,35.4805,25.5836,19.1848,13.922
Income Level,"Female, Non-Worker","Female, Worker","Male, Non-Worker","Male, Worker"
"Less Than $5,000",31.1569,16.6522,10.9,4.6154
"$5,000- $9,999",21.92,24.0549,11.46,13.1912
"$10,000-$14,999",32.4063,16.25,26.6897,8.6364
"$15,000-$19,999",32.425,24.1031,13.1389,12.3064
"$20,000-$24,999",31.3836,22.3804,18.3,16.1943
"$25,000-$29,999",26.4302,24.639,21.9792,10.6519
"$30,000-$34,999",38.8256,25.4847,37.1622,20.0608
"$35,000-$39,999",43.1408,22.5484,19.4,10.5615
"$40,000-$44,999",37.5588,31.801,21,14.7889
"$45,000-$49,999",41.9677,32.2579,20.2632,14.4088
"$50,000-$54,999",53.2609,36.9756,22.4074,14.4431
"$55,000-$59,999",35.6875,21.1931,21.6667,16.2752
"$60,000-$64,999",22.1304,19.9346,20,10.6071
"$65,000-$69,999",41.5625,28.0229,1.5,18.0562
"$70,000-$79,999",35.2381,22.2041,0,20.88
"$75,000-$79,999",36.1304,27.5,17,14.7048
"$80,000+",40.7419,25.0833,11.7391,10.9002
TIMEOTHER
,Female,,Male
,Non-Worker,Worker,Non-Worker,Worker
Total,157.6492,97.9341,183.0462,97.4352
Income Level,"Female, Non-Worker","Female, Worker","Male, Non-Worker","Male, Worker"
"Less Than $5,000",203.1961,106.3043,280.6,76.2308
"$5,000- $9,999",197.2133,61.956,204.5,90.1765
"$10,000-$14,999",149.9531,116.4135,156.8276,98.2727
"$15,000-$19,999",128.7,87.7534,140.6667,96.2601
"$20,000-$24,999",162.3836,84.1957,170.7333,97.3365
"$25,000-$29,999",181.7674,92.639,171.7083,98.0307
"$30,000-$34,999",154.4302,130.458,102,96.1672
"$35,000-$39,999",135.6901,103.1806,138.5667,92.1704
"$40,000-$44,999",159.5588,90.7382,148.8519,106.7407
"$45,000-$49,999",141.129,102.1086,229.0526,106.4745
"$50,000-$54,999",98.9783,81.1561,258.6667,73.2114
"$55,000-$59,999",162.7344,108.7822,165.5714,91.4186
"$60,000-$64,999",202.087,108.3364,146.4444,112.0214
"$65,000-$69,999",159,95.0153,312.1,101.6011
"$70,000-$79,999",106.7143,108.051,264.4,82.152
"$75,000-$79,999",153.5652,96.7353,64.3333,95.8571
"$80,000+",160.0726,89.713,278.7391,108.0582
TIMETRAVEL
,Female,,Male
,Non-Worker,Worker,Non-Worker,Worker
Total,59.9085,62.3409,56.0139,69.3351
Income Level,"Female, Non-Worker","Female, Worker","Male, Non-Worker","Male, Worker"
"Less Than $5,000",71.6667,72.3043,47.9,52.6538
"$5,000- $9,999",49.4933,57.0659,68.24,52.7941
"$10,000-$14,999",58.125,54.5481,47.5517,56.7686
"$15,000-$19,999",52.4625,56.5605,51.3611,63.4682
"$20,000-$24,999",62.3836,62.5598,40.1,53.981
"$25,000-$29,999",57.2209,56.4368,65.6042,60.8225
"$30,000-$34,999",47.686,61.0649,58.4054,67.4772
"$35,000-$39,999",54.4366,63.6935,64.1333,60.6592
"$40,000-$44,999",65.7647,61.6073,49.4815,71.6556
"$45,000-$49,999",64.1613,66.9548,43.6842,73.0876
"$50,000-$54,999",77.1522,59.7707,58.4444,72.7276
"$55,000-$59,999",68.4531,68.9257,48.8095,74.6705
"$60,000-$64,999",50.6957,70.215,70.6667,77.9429
