,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV,,,,,SUMMARY
,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means
Total,963.8222,239.7678,3021,,,290.3191,255.9488,3021,,,25.5836,64.2385,3021,,,97.9341,146.5176,3021,,,62.3409,56.0784,3021,,,=V3+Q3+L3+G3+B3
Income Level
1,959.3478,254.9201,23,=(B5-B$3)/SQRT(C5^2/D5+C$3^2/D$3),,285.3913,246.3268,23,=(G5-G$3)/SQRT(H5^2/I5+H$3^2/I$3),,16.6522,49.0089,23,=(L5-L$3)/SQRT(M5^2/N5+M$3^2/N$3),,106.3043,146.8396,23,=(Q5-Q$3)/SQRT(R5^2/S5+R$3^2/S$3),,72.3043,66.7236,23,=(V5-V$3)/SQRT(W5^2/X5+W$3^2/X$3),,=V5+Q5+L5+G5+B5
2,1021.7802,204.7022,91,=(B6-B$3)/SQRT(C6^2/D6+C$3^2/D$3),,275.1429,250.0359,91,=(G6-G$3)/SQRT(H6^2/I6+H$3^2/I$3),,24.0549,54.6649,91,=(L6-L$3)/SQRT(M6^2/N6+M$3^2/N$3),,61.956,121.6573,91,=(Q6-Q$3)/SQRT(R6^2/S6+R$3^2/S$3),,57.0659,46.035,91,=(V6-V$3)/SQRT(W6^2/X6+W$3^2/X$3),,=V6+Q6+L6+G6+B6
3,948.0769,241.3044,104,=(B7-B$3)/SQRT(C7^2/D7+C$3^2/D$3),,304.7115,261.4456,104,=(G7-G$3)/SQRT(H7^2/I7+H$3^2/I$3),,16.25,41.4939,104,=(L7-L$3)/SQRT(M7^2/N7+M$3^2/N$3),,116.4135,175.4675,104,=(Q7-Q$3)/SQRT(R7^2/S7+R$3^2/S$3),,54.5481,46.6478,104,=(V7-V$3)/SQRT(W7^2/X7+W$3^2/X$3),,=V7+Q7+L7+G7+B7
4,964.9821,243.097,223,=(B8-B$3)/SQRT(C8^2/D8+C$3^2/D$3),,306.6009,256.875,223,=(G8-G$3)/SQRT(H8^2/I8+H$3^2/I$3),,24.1031,83.7744,223,=(L8-L$3)/SQRT(M8^2/N8+M$3^2/N$3),,87.7534,119.8873,223,=(Q8-Q$3)/SQRT(R8^2/S8+R$3^2/S$3),,56.5605,44.5577,223,=(V8-V$3)/SQRT(W8^2/X8+W$3^2/X$3),,=V8+Q8+L8+G8+B8
5,955.9946,247.6139,184,=(B9-B$3)/SQRT(C9^2/D9+C$3^2/D$3),,314.8696,257.9286,184,=(G9-G$3)/SQRT(H9^2/I9+H$3^2/I$3),,22.3804,56.2249,184,=(L9-L$3)/SQRT(M9^2/N9+M$3^2/N$3),,84.1957,125.2108,184,=(Q9-Q$3)/SQRT(R9^2/S9+R$3^2/S$3),,62.5598,46.6505,184,=(V9-V$3)/SQRT(W9^2/X9+W$3^2/X$3),,=V9+Q9+L9+G9+B9
6,1005.5668,248.8487,277,=(B10-B$3)/SQRT(C10^2/D10+C$3^2/D$3),,260.7184,258.4254,277,=(G10-G$3)/SQRT(H10^2/I10+H$3^2/I$3),,24.639,50.4595,277,=(L10-L$3)/SQRT(M10^2/N10+M$3^2/N$3),,92.639,142.2268,277,=(Q10-Q$3)/SQRT(R10^2/S10+R$3^2/S$3),,56.4368,54.3225,277,=(V10-V$3)/SQRT(W10^2/X10+W$3^2/X$3),,=V10+Q10+L10+G10+B10
7,952.2901,236.2983,262,=(B11-B$3)/SQRT(C11^2/D11+C$3^2/D$3),,270.7023,258.9826,262,=(G11-G$3)/SQRT(H11^2/I11+H$3^2/I$3),,25.4847,62.8708,262,=(L11-L$3)/SQRT(M11^2/N11+M$3^2/N$3),,130.458,169.2336,262,=(Q11-Q$3)/SQRT(R11^2/S11+R$3^2/S$3),,61.0649,49.9872,262,=(V11-V$3)/SQRT(W11^2/X11+W$3^2/X$3),,=V11+Q11+L11+G11+B11
8,955.1065,241.4003,310,=(B12-B$3)/SQRT(C12^2/D12+C$3^2/D$3),,295.471,254.6606,310,=(G12-G$3)/SQRT(H12^2/I12+H$3^2/I$3),,22.5484,52.2535,310,=(L12-L$3)/SQRT(M12^2/N12+M$3^2/N$3),,103.1806,161.8952,310,=(Q12-Q$3)/SQRT(R12^2/S12+R$3^2/S$3),,63.6935,62.4856,310,=(V12-V$3)/SQRT(W12^2/X12+W$3^2/X$3),,=V12+Q12+L12+G12+B12
9,952.3141,240.3653,191,=(B13-B$3)/SQRT(C13^2/D13+C$3^2/D$3),,303.5393,253.142,191,=(G13-G$3)/SQRT(H13^2/I13+H$3^2/I$3),,31.801,74.5829,191,=(L13-L$3)/SQRT(M13^2/N13+M$3^2/N$3),,90.7382,143.1454,191,=(Q13-Q$3)/SQRT(R13^2/S13+R$3^2/S$3),,61.6073,57.3006,191,=(V13-V$3)/SQRT(W13^2/X13+W$3^2/X$3),,=V13+Q13+L13+G13+B13
